District,Soil_Color,N,P,K,pH,Rainfall,Temperature,Crop,Fertilizer,OC,EC,B,Fe,Mn,Cu,Zn,S,District_Normal_Rainfall,Humidity,N_P_Ratio,N_K_Ratio,P_K_Ratio,Rainfall_Deviation,OC_Class,Soil_Health_Score,Growing_Season
Satara,Black,40,30,10,6.5,600,25,Chickpea,MOP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,73.16,1.3329,3.996,2.997,-0.323,Low,5,Rabi
Solapur,Black,20,45,30,6.5,700,30,Chickpea,MOP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,75.66,0.4443,0.6664,1.4995,0.455,Medium,5,Rabi
Satara,Black,45,30,15,6.5,600,25,Chickpea,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,71.12,1.4995,2.998,1.9987,-0.323,Low,5,Rabi
Pune,Black,35,40,30,7.0,700,15,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,79.0,0.8748,1.1663,1.3329,-0.1876,Medium,5,Rabi
Pune,Black,30,50,30,7.0,900,15,Chickpea,DAP,0.41,0.408,0.46,1.32,2.802,0.53,0.374,6.746,861.6,91.39,0.5999,0.9997,1.6661,0.0446,Medium,5,Rabi
Kolhapur,Black,50,30,10,6.5,700,25,Chickpea,Sulphur,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,75.54,1.6661,4.995,2.997,-0.5961,High,7,Rabi
Solapur,Black,30,40,30,6.0,700,25,Chickpea,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,77.72,0.7498,0.9997,1.3329,0.455,Medium,5,Rabi
Sangli,Black,110,20,55,7.0,900,25,Cotton,DAP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,82.44,5.4973,1.9996,0.3636,0.7493,Medium,6,Kharif
Kolhapur,Red,100,40,60,7.0,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,89.38,2.4994,1.6664,0.6666,-0.423,High,8,Kharif
Kolhapur,Red,115,80,45,7.5,900,30,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.65,1.4373,2.555,1.7774,-0.4807,High,8,Kharif
Kolhapur,Red,135,60,75,7.5,1000,35,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,87.45,2.2496,1.7998,0.7999,-0.423,High,8,Kharif
Kolhapur,Red,130,45,50,6.0,800,25,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,78.45,2.8882,2.5995,0.8998,-0.5384,High,8,Kharif
Solapur,Black,105,70,75,8.0,600,20,Cotton,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,74.34,1.4998,1.3998,0.9332,0.2471,Medium,6,Kharif
Kolhapur,Red,125,45,70,7.0,900,30,Cotton,13:32:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,81.57,2.7772,1.7855,0.6428,-0.4807,High,8,Kharif
Kolhapur,Red,150,45,75,6.5,1000,35,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,88.92,3.3326,1.9997,0.5999,-0.423,High,8,Kharif
Kolhapur,Red,100,45,65,7.5,800,25,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,78.47,2.2217,1.5382,0.6922,-0.5384,High,8,Kharif
Kolhapur,Red,110,40,55,7.5,900,30,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,87.51,2.7493,1.9996,0.7271,-0.4807,High,8,Kharif
Sangli,Black,110,20,45,6.0,700,25,Cotton,Magnesium Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,74.88,5.4973,2.4439,0.4443,0.3605,Medium,6,Kharif
Kolhapur,Red,130,40,55,7.5,900,30,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,86.74,3.2492,2.3632,0.7271,-0.4807,High,8,Kharif
Kolhapur,Red,135,50,70,6.0,900,30,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,87.66,2.6995,1.9283,0.7142,-0.4807,High,8,Kharif
Kolhapur,Red,120,50,55,6.5,900,30,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,86.18,2.3995,2.1814,0.9089,-0.4807,High,8,Kharif
Sangli,Black,100,30,55,7.0,900,35,Cotton,Magnesium Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,83.92,3.3322,1.8179,0.5454,0.7493,Medium,7,Kharif
Kolhapur,Red,125,50,70,6.0,900,30,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.98,2.4995,1.7855,0.7142,-0.4807,High,8,Kharif
Kolhapur,Red,115,65,40,7.0,800,25,Cotton,12:32:16 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,78.27,1.769,2.8743,1.6246,-0.5384,High,8,Kharif
Sangli,Black,115,25,45,7.5,1000,30,Cotton,DAP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,87.78,4.5982,2.555,0.5554,0.9436,Medium,7,Kharif
Kolhapur,Red,115,45,50,6.0,800,25,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,81.3,2.555,2.2995,0.8998,-0.5384,High,8,Kharif
Kolhapur,Red,150,40,50,6.0,800,25,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,80.59,3.7491,2.9994,0.7998,-0.5384,High,8,Kharif
Kolhapur,Red,105,70,50,7.0,1000,35,Cotton,12:32:16 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,85.16,1.4998,2.0996,1.3997,-0.423,High,8,Kharif
Kolhapur,Red,140,40,75,6.5,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,89.03,3.4991,1.8664,0.5333,-0.423,High,8,Kharif
Kolhapur,Red,120,65,50,7.0,1000,35,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.44,1.8459,2.3995,1.2997,-0.423,High,8,Kharif
Kolhapur,Red,150,60,70,6.0,900,30,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.12,2.4996,2.1426,0.857,-0.4807,High,8,Kharif
Solapur,Black,120,60,70,8.0,500,10,Cotton,12:32:16 NPK,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,68.45,1.9997,1.714,0.857,0.0393,Medium,6,Kharif
Solapur,Black,110,70,75,8.0,600,20,Cotton,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,71.79,1.5712,1.4665,0.9332,0.2471,Medium,6,Kharif
Kolhapur,Red,105,45,70,7.0,900,30,Cotton,13:32:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,85.19,2.3328,1.4998,0.6428,-0.4807,High,8,Kharif
Kolhapur,Red,110,50,65,6.5,800,25,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,79.82,2.1996,1.692,0.7691,-0.5384,High,8,Kharif
Solapur,Black,120,70,65,8.0,500,20,Cotton,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,64.8,1.714,1.8459,1.0768,0.0393,Medium,6,Kharif
Kolhapur,Red,145,50,60,7.0,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,89.65,2.8994,2.4163,0.8332,-0.423,High,8,Kharif
Solapur,Black,100,70,70,8.5,500,20,Cotton,Magnesium Sulphate,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,67.33,1.4284,1.4284,0.9999,0.0393,Medium,5,Kharif
Kolhapur,Red,100,40,75,6.5,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,85.71,2.4994,1.3332,0.5333,-0.423,High,8,Kharif
Kolhapur,Red,145,40,65,6.5,800,25,Cotton,13:32:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,80.65,3.6241,2.2304,0.6153,-0.5384,High,8,Kharif
Kolhapur,Red,120,80,65,6.5,1000,35,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,90.69,1.4998,1.8459,1.2306,-0.423,High,8,Kharif
Solapur,Black,100,80,65,8.5,500,30,Cotton,12:32:16 NPK,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,65.56,1.2498,1.5382,1.2306,0.0393,Medium,5,Kharif
Kolhapur,Red,100,60,55,6.5,900,30,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,83.68,1.6664,1.8179,1.0907,-0.4807,High,8,Kharif
Kolhapur,Red,100,40,70,6.0,900,30,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,80.96,2.4994,1.4284,0.5713,-0.4807,High,8,Kharif
Solapur,Black,105,65,70,7.5,500,15,Cotton,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,64.55,1.6151,1.4998,0.9284,0.0393,Medium,7,Kharif
Kolhapur,Red,105,60,55,6.5,900,30,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,83.96,1.7497,1.9087,1.0907,-0.4807,High,8,Kharif
Kolhapur,Red,120,60,60,6.0,1000,35,Cotton,13:32:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,89.49,1.9997,1.9997,0.9998,-0.423,High,8,Kharif
Kolhapur,Red,100,40,65,6.5,800,25,Cotton,13:32:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,79.6,2.4994,1.5382,0.6153,-0.5384,High,8,Kharif
Kolhapur,Red,110,65,40,7.0,800,25,Cotton,12:32:16 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,78.82,1.692,2.7493,1.6246,-0.5384,High,8,Kharif
Solapur,Black,115,75,80,8.5,500,25,Cotton,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,65.03,1.5331,1.4373,0.9374,0.0393,Medium,5,Kharif
Kolhapur,Red,150,45,50,6.0,800,25,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.63,3.3326,2.9994,0.8998,-0.5384,High,8,Kharif
Kolhapur,Red,105,75,65,7.5,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,88.14,1.3998,1.6151,1.1537,-0.423,High,8,Kharif
Kolhapur,Red,110,40,50,6.0,800,25,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,77.53,2.7493,2.1996,0.7998,-0.5384,High,8,Kharif
Kolhapur,Red,110,80,55,6.5,800,25,Cotton,12:32:16 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,81.09,1.3748,1.9996,1.4543,-0.5384,High,8,Kharif
Kolhapur,Red,135,60,50,7.0,800,25,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,78.5,2.2496,2.6995,1.1998,-0.5384,High,8,Kharif
Kolhapur,Red,130,45,60,6.0,1000,35,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,91.26,2.8882,2.1663,0.7499,-0.423,High,8,Kharif
Kolhapur,Red,120,75,65,7.5,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,88.67,1.5998,1.8459,1.1537,-0.423,High,8,Kharif
Sangli,Black,100,30,50,6.0,700,35,Cotton,DAP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,72.52,3.3322,1.9996,0.5999,0.3605,Medium,7,Kharif
Kolhapur,Red,110,55,60,7.0,1000,35,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,92.29,1.9996,1.833,0.9165,-0.423,High,8,Kharif
Solapur,Black,110,75,75,7.5,600,25,Cotton,Magnesium Sulphate,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,71.17,1.4665,1.4665,0.9999,0.2471,Medium,7,Kharif
Kolhapur,Red,150,55,70,7.0,900,30,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,82.6,2.7268,2.1426,0.7856,-0.4807,High,8,Kharif
Kolhapur,Red,140,50,60,7.0,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,88.55,2.7994,2.3329,0.8332,-0.423,High,8,Kharif
Kolhapur,Red,145,60,75,7.5,1000,35,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.97,2.4163,1.9331,0.7999,-0.423,High,8,Kharif
Kolhapur,Red,100,45,70,7.0,900,30,Cotton,13:32:26 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.19,2.2217,1.4284,0.6428,-0.4807,High,8,Kharif
Kolhapur,Red,105,60,50,6.0,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,83.58,1.7497,2.0996,1.1998,-0.423,High,8,Kharif
Kolhapur,Red,100,60,70,6.0,900,30,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,82.31,1.6664,1.4284,0.857,-0.4807,High,8,Kharif
Kolhapur,Red,100,60,50,7.0,800,25,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,80.24,1.6664,1.9996,1.1998,-0.5384,High,8,Kharif
Kolhapur,Red,105,50,55,6.5,900,30,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,85.37,2.0996,1.9087,0.9089,-0.4807,High,8,Kharif
Kolhapur,Red,110,75,65,7.5,1000,35,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,87.04,1.4665,1.692,1.1537,-0.423,High,8,Kharif
Kolhapur,Red,110,60,65,7.5,800,25,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,79.33,1.833,1.692,0.9229,-0.5384,High,8,Kharif
Kolhapur,Red,110,55,70,7.0,900,30,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,82.94,1.9996,1.5712,0.7856,-0.4807,High,8,Kharif
Kolhapur,Red,100,70,60,7.0,900,30,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.36,1.4284,1.6664,1.1665,-0.4807,High,8,Kharif
Kolhapur,Red,100,80,40,6.0,800,25,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,82.08,1.2498,2.4994,1.9995,-0.5384,High,8,Kharif
Kolhapur,Red,100,75,40,7.0,800,25,Cotton,DAP,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,82.4,1.3332,2.4994,1.8745,-0.5384,High,8,Kharif
Solapur,Black,115,60,75,7.5,600,10,Cotton,Magnesium Sulphate,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,73.18,1.9163,1.5331,0.7999,0.2471,Medium,7,Kharif
