source_soil_id,source_weather_id,quality_tier,source_dataset,join_method,label_confidence,feature_confidence,crop
GOLD_SOIL_0044,GOLD_WX_0044,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0045,GOLD_WX_0045,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0046,GOLD_WX_0046,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0047,GOLD_WX_0047,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0048,GOLD_WX_0048,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0049,GOLD_WX_0049,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0050,GOLD_WX_0050,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0051,GOLD_WX_0051,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0052,GOLD_WX_0052,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0053,GOLD_WX_0053,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0054,GOLD_WX_0054,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0055,GOLD_WX_0055,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0056,GOLD_WX_0056,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0057,GOLD_WX_0057,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0058,GOLD_WX_0058,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0059,GOLD_WX_0059,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0060,GOLD_WX_0060,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0061,GOLD_WX_0061,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0062,GOLD_WX_0062,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0063,GOLD_WX_0063,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0064,GOLD_WX_0064,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0065,GOLD_WX_0065,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0066,GOLD_WX_0066,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0067,GOLD_WX_0067,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0068,GOLD_WX_0068,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0069,GOLD_WX_0069,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0070,GOLD_WX_0070,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0071,GOLD_WX_0071,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0072,GOLD_WX_0072,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0073,GOLD_WX_0073,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0074,GOLD_WX_0074,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0075,GOLD_WX_0075,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0076,GOLD_WX_0076,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0077,GOLD_WX_0077,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0078,GOLD_WX_0078,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0079,GOLD_WX_0079,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0080,GOLD_WX_0080,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0081,GOLD_WX_0081,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0082,GOLD_WX_0082,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0083,GOLD_WX_0083,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0084,GOLD_WX_0084,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0085,GOLD_WX_0085,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0086,GOLD_WX_0086,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0087,GOLD_WX_0087,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0088,GOLD_WX_0088,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0089,GOLD_WX_0089,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0090,GOLD_WX_0090,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0091,GOLD_WX_0091,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0092,GOLD_WX_0092,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0093,GOLD_WX_0093,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0094,GOLD_WX_0094,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0095,GOLD_WX_0095,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0096,GOLD_WX_0096,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0097,GOLD_WX_0097,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0098,GOLD_WX_0098,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0099,GOLD_WX_0099,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0100,GOLD_WX_0100,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,rice
GOLD_SOIL_0101,GOLD_WX_0101,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0102,GOLD_WX_0102,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0103,GOLD_WX_0103,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0104,GOLD_WX_0104,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0105,GOLD_WX_0105,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0106,GOLD_WX_0106,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0107,GOLD_WX_0107,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0108,GOLD_WX_0108,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0109,GOLD_WX_0109,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0110,GOLD_WX_0110,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0111,GOLD_WX_0111,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0112,GOLD_WX_0112,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0113,GOLD_WX_0113,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0114,GOLD_WX_0114,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0115,GOLD_WX_0115,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0116,GOLD_WX_0116,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0117,GOLD_WX_0117,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0118,GOLD_WX_0118,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0119,GOLD_WX_0119,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0120,GOLD_WX_0120,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0121,GOLD_WX_0121,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0122,GOLD_WX_0122,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0123,GOLD_WX_0123,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0124,GOLD_WX_0124,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0125,GOLD_WX_0125,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0126,GOLD_WX_0126,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0127,GOLD_WX_0127,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0128,GOLD_WX_0128,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0129,GOLD_WX_0129,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0130,GOLD_WX_0130,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0131,GOLD_WX_0131,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0132,GOLD_WX_0132,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0133,GOLD_WX_0133,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0134,GOLD_WX_0134,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0135,GOLD_WX_0135,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0136,GOLD_WX_0136,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0137,GOLD_WX_0137,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0138,GOLD_WX_0138,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0139,GOLD_WX_0139,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0140,GOLD_WX_0140,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0141,GOLD_WX_0141,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0142,GOLD_WX_0142,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0143,GOLD_WX_0143,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0144,GOLD_WX_0144,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0145,GOLD_WX_0145,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0146,GOLD_WX_0146,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0147,GOLD_WX_0147,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0148,GOLD_WX_0148,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0149,GOLD_WX_0149,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0150,GOLD_WX_0150,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0151,GOLD_WX_0151,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0152,GOLD_WX_0152,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0153,GOLD_WX_0153,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0154,GOLD_WX_0154,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0155,GOLD_WX_0155,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0156,GOLD_WX_0156,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0157,GOLD_WX_0157,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0158,GOLD_WX_0158,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0159,GOLD_WX_0159,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0160,GOLD_WX_0160,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0161,GOLD_WX_0161,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0162,GOLD_WX_0162,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0163,GOLD_WX_0163,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0164,GOLD_WX_0164,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0165,GOLD_WX_0165,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0166,GOLD_WX_0166,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0167,GOLD_WX_0167,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0168,GOLD_WX_0168,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0169,GOLD_WX_0169,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0170,GOLD_WX_0170,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0171,GOLD_WX_0171,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0172,GOLD_WX_0172,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0173,GOLD_WX_0173,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0174,GOLD_WX_0174,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0175,GOLD_WX_0175,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0176,GOLD_WX_0176,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0177,GOLD_WX_0177,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0178,GOLD_WX_0178,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0179,GOLD_WX_0179,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0180,GOLD_WX_0180,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0181,GOLD_WX_0181,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0182,GOLD_WX_0182,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0183,GOLD_WX_0183,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0184,GOLD_WX_0184,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0185,GOLD_WX_0185,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0186,GOLD_WX_0186,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0187,GOLD_WX_0187,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0188,GOLD_WX_0188,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0189,GOLD_WX_0189,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
GOLD_SOIL_0190,GOLD_WX_0190,GOLD,ICAR / FAO Crop Physiology Corpus,Direct Field Physiology Trial,1.0,1.0,maize
