Division,District,Year,Season,Actual_Rainfall,Normal_Rainfall,Departure,Departure_Percentage,Classification,June_Normal,June_Actual,June_Percentage,July_Normal,July_Actual,July_Percentage,August_Normal,August_Actual,August_Percentage,September_Normal,September_Actual,September_Percentage,Source
Konkan,Raigad,2016,Monsoon,3363.1,3148.6,214.5,6.81,Normal,655.8,583.0,88.9,1206.2,1209.8,100.3,874.5,880.4,100.7,412.1,689.9,167.4,Maharain Portal
Konkan,Ratnagiri,2016,Monsoon,4062.4,3195.1,867.3,27.14,Excess,813.5,858.7,105.6,1151.6,1638.3,142.3,835.9,902.2,107.9,394.1,663.2,168.3,Maharain Portal
Konkan,Sindhudurg,2016,Monsoon,3303.8,2940.5,363.3,12.36,Normal,880.1,959.2,109.0,1043.6,1295.6,124.1,689.2,623.5,90.5,327.6,425.5,129.9,Maharain Portal
Konkan,Thane,2016,Monsoon,2620.3,2433.4,186.9,7.68,Normal,461.9,298.2,64.6,942.3,1137.6,120.7,691.3,761.1,110.1,337.9,423.4,125.3,Maharain Portal
Nagpur,Bhandara,2016,Monsoon,814.0,1157.0,-343.0,-29.65,Deficit,189.3,80.9,42.7,382.6,399.5,104.4,387.6,147.0,37.9,197.5,186.6,94.5,Maharain Portal
Nagpur,Chandrapur,2016,Monsoon,1075.9,1084.0,-8.1,-0.75,Normal,183.5,155.8,84.9,357.2,513.4,143.7,362.9,124.8,34.4,180.4,281.9,156.3,Maharain Portal
Nagpur,Gadchiroli,2016,Monsoon,1526.0,1254.1,271.9,21.68,Excess,210.9,188.9,89.6,427.9,654.4,152.9,426.5,307.7,72.1,188.8,375.0,198.6,Maharain Portal
Nagpur,Gondia,2016,Monsoon,1037.9,1220.3,-182.4,-14.95,Normal,192.8,95.4,49.5,414.9,384.5,92.7,413.9,294.6,71.2,198.7,263.4,132.6,Maharain Portal
Nagpur,Nagpur,2016,Monsoon,729.4,920.4,-191.0,-20.75,Deficit,166.3,97.1,58.4,304.4,397.2,130.5,281.3,119.7,42.6,168.4,115.4,68.5,Maharain Portal
Nagpur,Wardha,2016,Monsoon,846.5,874.5,-28.0,-3.2,Normal,174.1,142.1,81.6,273.6,459.2,167.8,271.6,119.0,43.8,155.2,126.2,81.3,Maharain Portal
Nashik,Ahmednagar,2016,Monsoon,524.8,448.1,76.7,17.12,Normal,108.2,85.9,79.4,97.5,146.6,150.4,95.4,82.1,86.1,147.0,210.2,143.0,Maharain Portal
Nashik,Dhule,2016,Monsoon,411.7,535.1,-123.4,-23.06,Deficit,121.5,83.3,68.6,170.9,137.0,80.2,133.2,99.6,74.8,109.5,91.8,83.8,Maharain Portal
Nashik,Jalgaon,2016,Monsoon,622.2,632.6,-10.4,-1.64,Normal,123.7,91.8,74.2,189.2,240.0,126.8,196.1,113.5,57.9,123.6,176.9,143.1,Maharain Portal
Nashik,Nandurbar,2016,Monsoon,607.0,860.4,-253.4,-29.45,Deficit,155.9,50.4,32.3,305.6,191.5,62.7,252.2,206.8,82.0,146.7,158.3,107.9,Maharain Portal
Nashik,Nashik,2016,Monsoon,808.1,933.8,-125.7,-13.46,Normal,174.4,37.1,21.3,308.9,339.3,109.8,266.9,300.0,112.4,183.6,131.7,71.7,Maharain Portal
Pune,Kolhapur,2016,Monsoon,1259.0,1733.1,-474.1,-27.36,Deficit,362.9,158.0,43.5,685.5,619.0,90.3,485.9,400.0,82.3,198.8,82.0,41.2,Maharain Portal
Pune,Pune,2016,Monsoon,887.1,861.6,25.5,2.96,Normal,176.2,78.9,44.8,309.3,345.2,111.6,219.6,316.4,144.1,156.5,146.6,93.7,Maharain Portal
Pune,Sangli,2016,Monsoon,612.6,514.5,98.1,19.07,Normal,129.0,111.4,86.4,135.5,260.1,192.0,111.4,131.6,118.1,138.6,109.5,79.0,Maharain Portal
Pune,Satara,2016,Monsoon,978.2,886.2,92.0,10.38,Normal,194.1,124.5,64.1,307.2,372.8,121.4,224.8,345.8,153.8,160.1,135.1,84.4,Maharain Portal
Pune,Solapur,2016,Monsoon,395.3,481.1,-85.8,-17.83,Normal,102.5,90.3,88.1,94.8,107.5,113.4,107.5,27.4,25.5,176.3,170.1,96.5,Maharain Portal
Amravati,Akola,2017,Monsoon,490.1,693.7,-203.6,-29.35,Deficit,136.9,120.4,87.9,223.2,160.8,72.0,215.5,131.7,61.1,118.1,77.2,65.4,Maharain Portal
Amravati,Amravati,2017,Monsoon,529.3,862.0,-332.7,-38.6,Deficit,145.7,98.6,67.7,277.4,178.1,64.2,285.4,147.2,51.6,153.5,105.4,68.7,Maharain Portal
Amravati,Buldhana,2017,Monsoon,567.0,659.4,-92.4,-14.01,Normal,139.3,170.6,122.5,192.2,124.6,64.8,207.4,126.7,61.1,120.5,145.1,120.4,Maharain Portal
Amravati,Washim,2017,Monsoon,546.2,789.0,-242.8,-30.77,Deficit,166.4,186.8,112.3,243.6,160.1,65.7,236.1,104.1,44.1,142.9,95.2,66.6,Maharain Portal
Amravati,Yavatmal,2017,Monsoon,442.8,805.0,-362.2,-44.99,Deficit,163.9,130.8,79.8,256.7,126.4,49.2,253.7,108.5,42.8,130.7,77.1,59.0,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2017,Monsoon,600.5,566.1,34.4,6.08,Normal,128.4,167.1,130.1,127.7,60.8,47.6,138.0,228.8,165.8,172.0,143.8,83.6,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2017,Monsoon,505.1,581.7,-76.6,-13.17,Normal,125.2,139.6,111.5,152.2,68.9,45.3,153.8,143.0,93.0,150.5,153.6,102.1,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2017,Monsoon,726.0,603.1,122.9,20.38,Excess,126.9,244.0,192.3,137.1,49.4,36.0,154.4,223.2,144.6,184.7,209.4,113.4,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2017,Monsoon,572.4,795.3,-222.9,-28.03,Deficit,169.2,180.2,106.5,230.2,93.0,40.4,241.2,202.2,83.8,154.7,97.0,62.7,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2017,Monsoon,603.3,603.1,0.2,0.03,Normal,132.6,154.5,116.5,166.4,62.9,37.8,162.3,205.3,126.5,141.8,180.6,127.4,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2017,Monsoon,671.8,706.0,-34.2,-4.84,Normal,135.4,206.8,152.7,186.9,71.2,38.1,202.7,262.2,129.4,181.0,131.6,72.7,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2017,Monsoon,574.6,814.4,-239.8,-29.44,Deficit,155.4,167.7,107.9,244.3,108.4,44.4,247.3,233.2,94.3,167.4,65.3,39.0,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2017,Monsoon,480.6,761.3,-280.7,-36.87,Deficit,145.3,131.1,90.2,219.2,62.6,28.6,227.8,193.9,85.1,169.0,93.0,55.0,Maharain Portal
Konkan,Palghar,2017,Monsoon,2861.6,2305.4,556.2,24.13,Excess,411.9,668.1,162.2,905.0,1119.3,123.7,669.7,686.3,102.5,318.8,387.9,121.7,Maharain Portal
Konkan,Raigad,2017,Monsoon,3273.6,3148.6,125.0,3.97,Normal,655.8,751.1,114.5,1206.2,1116.8,92.6,874.5,891.6,102.0,412.1,514.1,124.8,Maharain Portal
Konkan,Ratnagiri,2017,Monsoon,3335.3,3195.1,140.2,4.39,Normal,813.5,912.4,112.2,1151.6,1108.0,96.2,835.9,742.2,88.8,394.1,572.7,145.3,Maharain Portal
Konkan,Sindhudurg,2017,Monsoon,2907.9,2940.5,-32.6,-1.11,Normal,880.1,810.6,92.1,1043.6,935.7,89.7,689.2,602.9,87.5,327.6,558.7,170.5,Maharain Portal
Konkan,Thane,2017,Monsoon,3206.4,2433.4,773.0,31.77,Excess,461.9,685.9,148.5,942.3,1206.6,128.0,691.3,875.0,126.6,337.9,438.9,129.9,Maharain Portal
Nagpur,Bhandara,2017,Monsoon,785.3,1157.0,-371.7,-32.13,Deficit,189.3,108.9,57.5,382.6,269.3,70.4,387.6,306.3,79.0,197.5,100.8,51.0,Maharain Portal
Nagpur,Chandrapur,2017,Monsoon,590.8,1084.0,-493.2,-45.5,Deficit,183.5,97.4,53.1,357.2,246.4,69.0,362.9,146.3,40.3,180.4,100.7,55.8,Maharain Portal
Nagpur,Gadchiroli,2017,Monsoon,1002.4,1254.1,-251.7,-20.07,Deficit,210.9,137.5,65.2,427.9,462.9,108.2,426.5,246.7,57.8,188.8,155.3,82.3,Maharain Portal
Nagpur,Gondia,2017,Monsoon,713.8,1220.3,-506.5,-41.51,Deficit,192.8,82.5,42.8,414.9,316.3,76.2,413.9,219.5,53.0,198.7,95.5,48.1,Maharain Portal
Nagpur,Nagpur,2017,Monsoon,772.9,920.4,-147.5,-16.03,Normal,166.3,110.0,66.1,304.4,205.9,67.6,281.3,302.1,107.4,168.4,154.9,92.0,Maharain Portal
Nagpur,Wardha,2017,Monsoon,647.5,874.5,-227.0,-25.96,Deficit,174.1,171.1,98.3,273.6,219.7,80.3,271.6,133.1,49.0,155.2,123.6,79.6,Maharain Portal
Nashik,Ahmednagar,2017,Monsoon,630.5,448.1,182.4,40.71,Excess,108.2,154.5,142.8,97.5,89.0,91.3,95.4,208.3,218.3,147.0,178.7,121.6,Maharain Portal
Nashik,Dhule,2017,Monsoon,488.5,535.1,-46.6,-8.71,Normal,121.5,120.3,99.0,170.9,143.4,83.9,133.2,133.2,100.0,109.5,91.6,83.7,Maharain Portal
Nashik,Jalgaon,2017,Monsoon,480.4,632.6,-152.2,-24.06,Deficit,123.7,107.0,86.5,189.2,143.7,76.0,196.1,133.9,68.3,123.6,95.8,77.5,Maharain Portal
Nashik,Nandurbar,2017,Monsoon,739.3,860.4,-121.1,-14.07,Normal,155.9,123.9,79.5,305.6,354.7,116.1,252.2,140.7,55.8,146.7,120.0,81.8,Maharain Portal
Nashik,Nashik,2017,Monsoon,845.2,933.8,-88.6,-9.49,Normal,174.4,163.9,94.0,308.9,407.6,132.0,266.9,168.1,63.0,183.6,105.6,57.5,Maharain Portal
Pune,Kolhapur,2017,Monsoon,1076.5,1733.1,-656.6,-37.89,Deficit,362.9,196.4,54.1,685.5,459.6,67.0,485.9,141.6,29.1,198.8,278.9,140.3,Maharain Portal
Pune,Pune,2017,Monsoon,988.7,861.6,127.1,14.75,Normal,176.2,206.2,117.0,309.3,383.0,123.8,219.6,221.2,100.7,156.5,178.3,113.9,Maharain Portal
Pune,Sangli,2017,Monsoon,449.7,514.5,-64.8,-12.59,Normal,129.0,82.1,63.6,135.5,113.2,83.5,111.4,53.6,48.1,138.6,200.8,144.9,Maharain Portal
Pune,Satara,2017,Monsoon,869.0,886.2,-17.2,-1.94,Normal,194.1,167.8,86.5,307.2,332.8,108.3,224.8,127.1,56.5,160.1,241.3,150.7,Maharain Portal
Pune,Solapur,2017,Monsoon,415.3,481.1,-65.8,-13.68,Normal,102.5,157.6,153.8,94.8,14.3,15.1,107.5,103.4,96.2,176.3,140.0,79.4,Maharain Portal
Amravati,Akola,2018,Monsoon,663.6,693.7,-30.1,-4.34,Normal,136.9,177.1,129.4,223.2,247.3,110.8,215.5,186.0,86.3,118.1,53.2,45.0,Maharain Portal
Amravati,Amravati,2018,Monsoon,636.6,862.0,-225.4,-26.15,Deficit,145.7,170.3,116.9,277.4,215.6,77.7,285.4,167.4,58.7,153.5,83.3,54.3,Maharain Portal
Amravati,Buldhana,2018,Monsoon,462.7,659.4,-196.7,-29.83,Deficit,139.3,91.5,65.7,192.2,161.3,83.9,207.4,172.9,83.4,120.5,37.0,30.7,Maharain Portal
Amravati,Washim,2018,Monsoon,768.5,789.0,-20.5,-2.6,Normal,166.4,268.4,161.3,243.6,249.9,102.6,236.1,223.6,94.7,142.9,26.6,18.6,Maharain Portal
Amravati,Yavatmal,2018,Monsoon,702.2,805.0,-102.8,-12.77,Normal,163.9,185.3,113.1,256.7,277.8,108.2,253.7,197.0,77.7,130.7,42.1,32.2,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2018,Monsoon,320.5,566.1,-245.6,-43.38,Deficit,128.4,119.4,93.0,127.7,67.6,52.9,138.0,117.7,85.3,172.0,15.8,9.2,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2018,Monsoon,352.0,581.7,-229.7,-39.49,Deficit,125.2,101.5,81.1,152.2,73.0,48.0,153.8,160.2,104.2,150.5,17.3,11.5,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2018,Monsoon,422.0,603.1,-181.1,-30.03,Deficit,126.9,177.5,139.9,137.1,89.6,65.4,154.4,124.0,80.3,184.7,30.9,16.7,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2018,Monsoon,684.3,795.3,-111.0,-13.96,Normal,169.2,254.1,150.2,230.2,199.5,86.7,241.2,219.3,90.9,154.7,11.4,7.4,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2018,Monsoon,418.0,603.1,-185.1,-30.69,Deficit,132.6,103.1,77.8,166.4,115.8,69.6,162.3,182.0,112.1,141.8,17.1,12.1,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2018,Monsoon,464.1,706.0,-241.9,-34.26,Deficit,135.4,217.4,160.6,186.9,80.0,42.8,202.7,145.8,71.9,181.0,20.9,11.5,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2018,Monsoon,749.4,814.4,-65.0,-7.98,Normal,155.4,242.4,156.0,244.3,162.9,66.7,247.3,301.5,121.9,167.4,42.6,25.4,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2018,Monsoon,494.2,761.3,-267.1,-35.08,Deficit,145.3,172.0,118.4,219.2,108.8,49.6,227.8,191.6,84.1,169.0,21.8,12.9,Maharain Portal
Konkan,Palghar,2018,Monsoon,2314.6,2305.4,9.2,0.4,Normal,411.9,553.1,134.3,905.0,1433.1,158.4,669.7,294.0,43.9,318.8,34.4,10.8,Maharain Portal
Konkan,Raigad,2018,Monsoon,2740.9,3148.6,-407.7,-12.95,Normal,655.8,789.3,120.4,1206.2,1256.6,104.2,874.5,568.8,65.0,412.1,126.2,30.6,Maharain Portal
Konkan,Ratnagiri,2018,Monsoon,3357.3,3195.1,162.2,5.08,Normal,813.5,1137.0,139.8,1151.6,1316.0,114.3,835.9,748.1,89.5,394.1,156.2,39.6,Maharain Portal
Konkan,Sindhudurg,2018,Monsoon,2924.5,2940.5,-16.0,-0.54,Normal,880.1,1173.0,133.3,1043.6,1032.1,98.9,689.2,589.1,85.5,327.6,130.3,39.8,Maharain Portal
Konkan,Thane,2018,Monsoon,2410.8,2433.4,-22.6,-0.93,Normal,461.9,605.2,131.0,942.3,1304.2,138.4,691.3,417.3,60.4,337.9,84.1,24.9,Maharain Portal
Nagpur,Bhandara,2018,Monsoon,973.8,1157.0,-183.2,-15.83,Normal,189.3,175.8,92.9,382.6,390.5,102.1,387.6,338.9,87.4,197.5,68.6,34.7,Maharain Portal
Nagpur,Chandrapur,2018,Monsoon,838.1,1084.0,-245.9,-22.68,Deficit,183.5,150.9,82.2,357.2,367.2,102.8,362.9,234.8,64.7,180.4,85.2,47.2,Maharain Portal
Nagpur,Gadchiroli,2018,Monsoon,1315.7,1254.1,61.6,4.91,Normal,210.9,249.9,118.5,427.9,473.3,110.6,426.5,481.9,113.0,188.8,110.6,58.6,Maharain Portal
Nagpur,Gondia,2018,Monsoon,1118.7,1220.3,-101.6,-8.33,Normal,192.8,154.5,80.1,414.9,531.0,128.0,413.9,326.2,78.8,198.7,107.0,53.9,Maharain Portal
Nagpur,Nagpur,2018,Monsoon,858.9,920.4,-61.5,-6.68,Normal,166.3,204.7,123.1,304.4,356.2,117.0,281.3,205.8,73.2,168.4,92.2,54.8,Maharain Portal
Nagpur,Wardha,2018,Monsoon,744.7,874.5,-129.8,-14.84,Normal,174.1,195.0,112.0,273.6,280.1,102.4,271.6,120.0,44.2,155.2,149.6,96.4,Maharain Portal
Nashik,Ahmednagar,2018,Monsoon,313.7,448.1,-134.4,-29.99,Deficit,108.2,118.5,109.5,97.5,74.2,76.1,95.4,87.2,91.4,147.0,33.8,23.0,Maharain Portal
Nashik,Dhule,2018,Monsoon,404.3,535.1,-130.8,-24.44,Deficit,121.5,140.1,115.3,170.9,110.4,64.6,133.2,139.4,104.7,109.5,14.4,13.2,Maharain Portal
Nashik,Jalgaon,2018,Monsoon,432.3,632.6,-200.3,-31.66,Deficit,123.7,115.2,93.1,189.2,129.2,68.3,196.1,153.7,78.4,123.6,34.2,27.7,Maharain Portal
Nashik,Nandurbar,2018,Monsoon,505.0,860.4,-355.4,-41.31,Deficit,155.9,95.7,61.4,305.6,188.1,61.6,252.2,190.1,75.4,146.7,31.1,21.2,Maharain Portal
Nashik,Nashik,2018,Monsoon,624.8,933.8,-309.0,-33.09,Deficit,174.4,125.2,71.8,308.9,277.1,89.7,266.9,185.1,69.4,183.6,37.4,20.4,Maharain Portal
Pune,Kolhapur,2018,Monsoon,1317.3,1733.1,-415.8,-23.99,Deficit,362.9,238.0,65.6,685.5,624.8,91.1,485.9,376.1,77.4,198.8,78.4,39.4,Maharain Portal
Pune,Pune,2018,Monsoon,741.9,861.6,-119.7,-13.89,Normal,176.2,139.9,79.4,309.3,352.0,113.8,219.6,205.9,93.8,156.5,44.1,28.2,Maharain Portal
Pune,Sangli,2018,Monsoon,390.9,514.5,-123.6,-24.02,Deficit,129.0,105.5,81.8,135.5,135.7,100.1,111.4,84.6,75.9,138.6,65.1,47.0,Maharain Portal
Pune,Satara,2018,Monsoon,853.8,886.2,-32.4,-3.66,Normal,194.1,170.4,87.8,307.2,401.5,130.7,224.8,213.4,94.9,160.1,68.5,42.8,Maharain Portal
